dataset,size,algorithm,milliseconds
random,32100,merge_insertion_t15,2.83596
random,32200,merge_sort,3.20402
random,32200,merge_insertion_t15,2.93915
random,32300,merge_sort,3.23196
random,32300,merge_insertion_t15,2.85892
random,32400,merge_sort,3.28122
random,32400,merge_insertion_t15,2.92374
random,32500,merge_sort,3.22504
random,32500,merge_insertion_t15,2.93162
random,32600,merge_sort,3.32303
random,32600,merge_insertion_t15,2.92143
random,32700,merge_sort,3.24282
random,32700,merge_insertion_t15,2.94971
random,32800,merge_sort,3.33246
random,32800,merge_insertion_t15,3.0665
random,32900,merge_sort,3.36608
random,32900,merge_insertion_t15,3.03034
random,33000,merge_sort,3.40519
random,33000,merge_insertion_t15,3.00346
random,33100,merge_sort,3.41392
random,33100,merge_insertion_t15,3.08463
random,33200,merge_sort,3.41669
random,33200,merge_insertion_t15,3.03327
random,33300,merge_sort,3.38071
random,33300,merge_insertion_t15,3.02291
random,33400,merge_sort,3.41798
random,33400,merge_insertion_t15,3.07053
random,33500,merge_sort,3.48205
random,33500,merge_insertion_t15,3.0387
random,33600,merge_sort,3.37062
random,33600,merge_insertion_t15,2.99251
random,33700,merge_sort,3.44496
random,33700,merge_insertion_t15,3.10927
random,33800,merge_sort,3.51951
random,33800,merge_insertion_t15,3.08036
random,33900,merge_sort,3.39371
random,33900,merge_insertion_t15,3.01595
random,34000,merge_sort,3.46425
random,34000,merge_insertion_t15,3.14127
random,34100,merge_sort,3.4991
random,34100,merge_insertion_t15,3.08243
random,34200,merge_sort,3.51312
random,34200,merge_insertion_t15,3.08013
random,34300,merge_sort,3.47476
random,34300,merge_insertion_t15,3.31119
random,34400,merge_sort,3.47348
random,34400,merge_insertion_t15,3.09629
random,34500,merge_sort,3.54833
random,34500,merge_insertion_t15,3.10715
random,34600,merge_sort,3.4943
random,34600,merge_insertion_t15,3.1406
random,34700,merge_sort,3.55731
random,34700,merge_insertion_t15,3.5895
random,34800,merge_sort,3.57346
random,34800,merge_insertion_t15,3.15461
random,34900,merge_sort,3.77056
random,34900,merge_insertion_t15,3.11473
random,35000,merge_sort,3.51478
random,35000,merge_insertion_t15,3.16998
random,35100,merge_sort,3.57898
random,35100,merge_insertion_t15,3.21164
random,35200,merge_sort,3.62981
random,35200,merge_insertion_t15,3.18068
random,35300,merge_sort,3.56525
random,35300,merge_insertion_t15,3.20751
random,35400,merge_sort,3.64299
random,35400,merge_insertion_t15,3.19409
random,35500,merge_sort,3.63734
random,35500,merge_insertion_t15,3.23193
random,35600,merge_sort,3.61738
random,35600,merge_insertion_t15,3.21018
random,35700,merge_sort,3.60777
random,35700,merge_insertion_t15,3.39156
random,35800,merge_sort,3.70447
random,35800,merge_insertion_t15,3.24794
random,35900,merge_sort,3.67173
random,35900,merge_insertion_t15,3.24041
random,36000,merge_sort,3.60972
random,36000,merge_insertion_t15,3.57238
random,36100,merge_sort,3.66621
random,36100,merge_insertion_t15,3.2633
random,36200,merge_sort,3.72711
random,36200,merge_insertion_t15,3.28208
